;11-501;11-502;11-503;11-504;11-505;11-506;11-507;11-511;11-512; 11-541;11-521;11-522;11-531;11-400 ;11-401;11-402;11-403;11-404;11-405;11-406;11-407;11-408;11-409;11-411 ;11-412 ;11-413а ;11-301;11-302;11-303;11-304;11-305;11-306;11-307;11-308;11-311 ;11-312 ;11-314а;11-200;11-201;11-202;11-203;11-204;11-205;11-206;11-207;11-208;11-209;11-210 ;11.1-521;11.1-522;11.1-531;11.1-541;11.1-551;11.1-552;11.1-561;11.1-571
;;;;;;;;;;;Инженерия приложений и инженерия предметной области Таланов М.О.(онлайн) практ. 9 н.по н.н. https://meet.google.com/peb-zpqg-ocz;Инженерия приложений и инженерия предметной области Таланов М.О.(онлайн) практ. 9 н.по ч.н. https://meet.google.com/peb-zpqg-ocz;Дисциплина по выбору: Датчики робототехнических систем Сафин Р.Н.в 1405  ( 22.04 не будет с переносом);;;Профессиональный иностранный язык (английский) ауд. 1301, Воронина Д.И. (вебинары) ;Национальные и корпоративные цифровые платформы Гайнуллин Р.З. в 1302 ;Основы методологии Devops Буравцов Е.В .в ауд. в 1412
08.30-10.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Дисциплина по выбору:

;;;;;;;Основы машинного обучения,


;;;;;;Основы информационного поиска,



10.10-11.40;Элективные курсы по физической культуре и спорту   (10:00-11:30);;;;;;;Элективные курсы по физической культуре и спорту   (10:00-11:30)
;Элективные курсы по физической культуре и спорту   (10:00-11:30);Элективные курсы по физической культуре и спорту   (10:00-11:30);;Элективные курсы по физической культуре и спорту   (10:00-11:30) графику (вебинары);Технологическая (проектно-технологическая) практика DML ауд.1408
;;;;;;;;;;;;Дисциплина по выбору:

;;;;;;;;Основы машинного обучения,

Основы научной коммуникации,


;;Основы информационного поиска,


;Методология научной деятельности,



;;;;;;;;;;;;                                                                           
12.10-13.40;Алгоритмы и структуры данных

История России,



Дискретная математика,

;Математический анализ,

;;Дискретная математика,


;;Линейная алгебра для IT,


;Иностранный язык,


  Элективные курсы по физической культуре и спорту  УНИКС   
;;;;;;;;;Элективные курсы по физической культуре и спорту, 12:00-13:30 (ЦОР)                             ;;  Элективные курсы по физической культуре и спорту,

;;;;;;;;;;Основы научной коммуникации,


;;Методология научной деятельности,



Основы информационного поиска,



13.50-15.20;;Математический анализ, 

История России,



Философия,


Алгоритмы и структуры данных,


Алгоритмы и структуры данных,

;Информатика и программирование




;Линейная алгебра для IT,


;;Иностранный язык,


Теория вероятностей и математическая статистика,

;;;Машинное обучение,



Машинное обучение,



;;;;Инновационная экономика и технологическое предпринимательство,

;Основы финансовой грамотности,





; Управление проектами, Коростелева Д.М. 

